tweet,location
"@vinodkapri @RahulGandhi Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 Mohandas Karamchand Gandhi.",Pune
"*Respected Indian Citizens,* Namaskaar I Am The Original Gandhi. I Have No Branches Or Franchises. None Of My Relatives Are In Politics. Beware Of Fake Gandhi's. Take Care,,,_ https://t.co/0OFay52fqP",Lucknow
"1/n-Meet Filmmaker Prakash Jha in New Jersey talking on Social Justice,Power,&amp;Politics in Indian Cinema @Princeton University(April 11-28,2023) Artist-In-Residence@PrincetonCGI.See full program https://t.co/tDkpIv03Z0
@PrincetonPubLec @PrincetonHum @PrincetonPIIRS @PJP_Online https://t.co/RMcBwf64Qx",Jaipur
@MrinalWahal Why would politicians stop using religion in politics when indian institutions incentivizes that,Lucknow
"@annamalai_k @narendramodi A state level president knows the policy of the PM, but the union minister who authorised the notification to be sent does not know about PMs policy. Who are you trying to cheat? Don’t forget that you cannot cheat the people of TN, they are way to smart to understand politics",Lucknow
@IAMCouncil @POTUS @Ilhan @bridgeinit OK this lady now has no issues with US. That she has to poke her dirty nose into Indian politics. 2024 Modi and BJP have to fight international forces. Would be an achievement even if they scrap through!!,Delhi
"@darrengrimes_ Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked",Mumbai
"@PeterStefanovi2 Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked",Lucknow
"Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked",Mumbai
"@BesuraTaansane @KartiPC @PChidambaram_IN The problem with Indian politics and politicians is they don't remember this is democracy and in democracy people are the boss. From people too, I don't understand why we think a politician son as a natural alternative to The aged politician?This is ridiculous, this is one reason",Pune
AmitShah News18 Rising India is a platform that showcases the diversity and complexity of Indian politics. https://t.co/6uIv3ahEpE,Mumbai
"As someone who is passionate about Indian politics, I'm eager to see AmitShah's take on current events on News18 Rising India. https://t.co/TWQhSpQ552",Bengaluru
"AmitShah News18 Rising India is the
place to be for anyone who wants to
stay informed about the latest
developments in Indian politics. https://t.co/SHfqfxDsra",Delhi
AmitShah News18 Rising India never fails to provide thought-provoking insights and analysis on Indian politics. https://t.co/gxjsvIhbZU,Delhi
@POTUS Under Biden politics American manufacturing industries going inhouse raw material production not depend on imports only America exports with quality a priority to globally . We indian govt inspire without depend raw materials from China's sub standard materials . Alas politics 😸,Chennai
"@SilvioTattiscon Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked",Lucknow
"Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked",Delhi
"@AmyMek Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked",Delhi
"@UnityNewsNet Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked",Pune
"@AgentP22 Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked",Chennai
"@Justice_forum Why are pakistani /indian dual nationals allowed in UK politics @ukhomeoffice   #WeWereNeverAsked 

White people are only 8% of the world population 

when do we get minority rights ?

 Betrayed by our own politicians ..

Marxism 101 : #kalergiplan   #WeWereNeverAsked",Lucknow
"Any take on appeasement vote bank politics,on open call for violence in the name of religion,on instigation by some policians to vote on that basis?  After decades of slug Indian state is 'important' now to take it in right perspective.

https://t.co/qPiEInE7tT
via @pghosh006",Ahmedabad
"@reejanbhatta @mufaddal_vohra its not about politics,its about security. Though other overseas players play in pakistan but pakistan people hate indian people so security issue",Ahmedabad
The bull dozer politics of indian govt officials on helpless folks,Kolkata
@shivkant_gautam ha e listen suketu statment by his mouth arvind kejriwal soon join in tehad jail because he give 150 cr to his aam admi party and kajirval biggest papu of indian politics he is doing one thing his life out elagation and say sorry in court 7 time take apology.,Mumbai
@mufaddal_vohra Simply politics or India fear they can't win single match in Pakistan.. Two points are fact.. other teams are played in Pakistan  ...🤔🤔🤔 As Indian fan of cricket we love to play cricket in Pakistan and win every matches.. only politician do politics simply,Kolkata
@jazzydomenique The National Museum of the American Indian has the best cafeteria food + visit top floor for history of tribes &amp; diplomacy. In Adams Morgan you can visit famous Ben's Chili Bowl &amp; also do walking tour of black history. In Dupont Circle there is a walking tour around women's orgs.,Jaipur
"Out of all the snippets I've collected over the past couple of months, this one stands out.

Speaks a lot about the fundamental character of Indian psyche and how it interacts with politics. https://t.co/YJ310xwuFR",Lucknow
"Indian  defence have failure  to protect my life. Every power  nation knows technology  science in modern age.

Indian  government poisoned me and did brutality with  my body and mind for their politics of konkan and sir name.

Now, I say do what I did. Protect vulnerable. https://t.co/E1HBycohRc",Hyderabad
@AamAadmiParty @ArvindKejriwal Your are biggest and ugliest joker of Indian politics,Mumbai
"Hate speeches will go away when politicians stop using religion in politics, says Supreme Court | India News,The Indian Express https://t.co/hp0qKdRjeT",Hyderabad
"@mufaddal_vohra That ICC official may work in Bollywood or doing odd reporting for Indian Media ....
But the GM of ICC stated this 👇👇👇
Bangabandu National Stadium Dhaka will host 🇵🇰vs🇮🇳 ,a match that can easily be hosted in Ahmedabad,Kolkata or Chennai but BCCI prefers to play Politics https://t.co/pAh9nVGKj0",Pune
Narendra Modi is a legend of Indian politics.,Lucknow
"@AamAadmiParty @ArvindKejriwal This lavanasur started his career against Congress , DMK, Samajwadi Party, RJd etc.
He had tons of papers as proof,

Instead he went and asked for an apology in writing.
Him Rajneeti Badlne aaye hain.

Such a fall..
The biggest fraud the Indian politics has ever seen.",Chennai
"At present, the biggest strategist of Indian politics, who has brought BJP to such a great position, has to listen closely. AmitShah News18 Rising India",Mumbai
"Whether you agree with his views or not, AmitShah is an important figure in Indian politics. It will be interesting to hear his thoughts on AmitShah News18 Rising India.",Bengaluru
"@DurbinHypocrite @KapilSibal Only questioning the dirty Indian politics. Of course, RG did the right thing by vacating. I hope they give 30-60 days notice (just like for H1Bs that are laid off) in India to find a place and such..😁",Lucknow
@TajinderBagga This guy  Arvind गिरगिटानन्द Kejriwal is Shameless and Third grade  Politician i have ever seen in Indian Politics.       Cheap Guy,Kolkata
"Cool. 

Now, can we stop crying over the disqualification of Wayanad MP? 

He is not the saviour - he &amp; the stranglehold of the Dynasty represent the real problem with the progressive forces of Indian politics.",Ahmedabad
#RahulgandhiINSULTsKartiChidambaram in full public view.  Fight between #Sivaganga and #Sicily is a major side-show of  Indian Politics?,Delhi
"8) The Holy Spirit 
9) The Indian Caste System 
10) Dextrocardia
Tbh there’s a lot of things I can talk about for 30 minutes without preparation ranging from God and Christianity to Medicine to History to Psychology to Activism to Socio-economic issues to Politics.",Delhi
"Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/deZfFTjaBH",Mumbai
"@timesofindia Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/9EzmGnlXpA",Mumbai
